Date,Value,Pdf
"Sep 16, 2024","Financing for Sustainable Agriculture - Keynote Address by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - September 11, 2024 - at the International Research Conference hosted by the College of Agricultural Banking (CAB), Pune",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FINANC1609202427DDFE0EC4B14B529F1427C928211448.PDF
"Sep 13, 2024","Global Financial Stability; Risks and Opportunities - Keynote Address by Shri Shaktikanta Das, Governor, Reserve Bank of India - September 13, 2024 - at the Future of Finance Forum 2024 organised by the Bretton Woods Committee, Singapore",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/BWCGOV13092024BAE7EB99E6F24EBC966297ECD4884CC8.PDF
"Sep 12, 2024","Managing the Challenges in Financing Infrastructure: The Road Ahead for NaBFID - Keynote address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - September 12, 2024 - at Infrastructure Conclave organised by National Bank for Financing Infrastructure and Development (NaBFID) at Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/NAFID120920245F545DD56764422CB61C3863F6B7543F.PDF
"Sep 03, 2024","Financing India’s Aspirations - Keynote Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - September 3, 2024 - at the Financing 3.0 Summit: Preparing for Viksit Bharat organised by the Confederation of Indian Industries (CII) at Mumbai, India",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/CII0309202421C53C3724A94A5C8D98C064BEB97398.PDF
"Sep 02, 2024","Transforming Financial Landscapes: Building Resilience for Economic Stability - Keynote Address by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 30, 2024 - at the ‘Banking Transformation Summit - Season 2’ organised by CNBC TV 18 in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/TTFLSP02092024FF2F88E8667A5444194BF51AE5839FC24.PDF
"Aug 30, 2024","Address by Shri Shaktikanta Das, Governor, Reserve Bank of India at the Global Fintech Fest (GFF), 2024, Mumbai, August 30, 2024",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/GOVSP30082024F1D5C23DD70E746F5837B3255CF58FEF8.PDF
"Aug 22, 2024","Local to Global: The Role of the Financial Sector in MSME's Development - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 21, 2024 - at the Annual Day of the Foreign Exchange Dealers Association of India (FEDAI) held in Mumbai",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FEDAISP22082024F6F3DFEFFBDD74557AE1B033C1B0CDD8F.PDF
"Aug 19, 2024","Deposit Insurance: Keeping Pace with the Changing Times - Valedictory address delivered by Shri M. Rajeshwar Rao, Deputy Governor, Reserve Bank of India - August 14, 2024 - at IADI Asia-Pacific Regional Committee International Conference 2024 hosted by Deposit Insurance and Credit Guarantee Corporation (DICGC) at Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/DICGC19082024F89C00DF009CB47869C1688FEA144CC5F.PDF
"Aug 14, 2024","Financial Stability in the Emerging Technology Landscape - Speech by Shri Swaminathan J, Deputy Governor, Reserve Bank of India - August 14, 2024 - at the International Conference of the International Association of Deposit Insurers- Asia Pacific Regional Committee (IADI-APRC) hosted by the Deposit Insurance Credit Guarantee Corporation (DICGC) held in Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/FSE140820246F85129098D94143A566C54448CA880A.PDF
"Aug 13, 2024","Navigating Emerging Challenges for Deposit Insurers and Fortifying Crisis Preparedness - Keynote Address delivered by Michael Debabrata Patra, Deputy Governor, Reserve Bank of India - August 13, 2024 - at the International Association of Deposit Insurers (IADI) Asia Pacific Regional Committee (APRC) International Conference hosted by Deposit Insurance and Credit Guarantee Corporation (DICGC) at Jaipur",https://rbidocs.rbi.org.in/rdocs/Speeches/PDFs/IADIAPRC130820241B63F2E3A0A745D281E41017F3B0C8D4.PDF
